index,target,source,flow
3059,17-476,33-99999,22
3060,17-476,35-99999,50
3061,17-476,36-104,67
3062,17-476,36-160,142
3063,17-476,36-464,92
3064,17-476,36-99999,194
3065,17-476,37-172,151
3066,17-476,37-268,113
3067,17-476,37-450,100
3068,17-476,37-99999,195
3069,17-476,38-99999,82
3070,17-476,39-184,366
3071,17-476,39-198,234
3072,17-476,39-212,25
3073,17-476,39-99999,340
3074,17-476,40-416,140
3075,17-476,40-538,53
3076,17-476,40-99999,109
3077,17-476,41-440,131
3078,17-476,41-99999,64
3079,17-476,42-430,186
3080,17-476,42-99999,512
3081,17-476,45-16700,31
3082,17-476,45-273,108
3083,17-476,45-99999,169
3084,17-476,46-99999,103
3085,17-476,47-314,98
3086,17-476,47-400,24
3087,17-476,47-99999,197
3088,17-476,48-12420,48
3089,17-476,48-13140,26
3090,17-476,48-204,17
3091,17-476,48-206,525
3092,17-476,48-238,84
3093,17-476,48-288,334
3094,17-476,48-29700,68
3095,17-476,48-41700,83
3096,17-476,48-99999,513
3097,17-476,49-482,111
3098,17-476,49-99999,8
3099,17-476,50-99999,65
3100,17-476,51-40060,64
3101,17-476,51-545,68
3102,17-476,51-99999,191
3103,17-476,53-500,126
3104,17-476,53-99999,88
3105,17-476,54-99999,174
3106,17-476,55-376,67
3107,17-476,55-99999,394
3108,17-476,56-99999,52
3109,17-99999,09-408,657
3110,17-99999,10-428,326
3111,17-99999,11-47900,94
3112,17-99999,18-258,7
3113,17-99999,18-99999,21
3114,17-99999,19-99999,210
3115,17-99999,20-312,314
3116,17-99999,20-556,118
3117,17-99999,20-99999,296
3118,17-99999,21-178,46
3119,17-99999,21-350,54
3120,17-99999,21-99999,145
3121,17-99999,22-12940,43
3122,17-99999,22-29340,12
3123,17-99999,22-406,141
3124,17-99999,22-99999,71
3125,17-99999,23-99999,76
3126,17-99999,24-12580,98
3127,17-99999,24-99999,91
3128,17-99999,25-148,294
3129,17-99999,25-99999,63
3130,17-99999,26-220,496
3131,17-99999,26-266,34
3132,17-99999,26-99999,221
3133,17-99999,27-378,615
3134,17-99999,27-99999,269
3135,17-99999,28-99999,250
3136,17-99999,29-99999,193
3137,17-99999,30-99999,89
3138,17-99999,31-420,153
3139,17-99999,31-99999,335
3140,17-99999,32-332,23
3141,17-99999,32-99999,50
3142,17-99999,33-99999,46
3143,17-99999,35-99999,61
3144,17-99999,36-104,82
3145,17-99999,36-160,255
3146,17-99999,36-464,115
3147,17-99999,36-99999,296
3148,17-99999,37-172,175
3149,17-99999,37-268,206
3150,17-99999,37-450,87
3151,17-99999,37-99999,306
3152,17-99999,38-99999,271
3153,17-99999,39-184,487
3154,17-99999,39-198,143
3155,17-99999,39-212,49
3156,17-99999,39-99999,336
3157,17-99999,40-416,74
3158,17-99999,40-538,93
3159,17-99999,40-99999,132
3160,17-99999,41-440,153
3161,17-99999,41-99999,37
3162,17-99999,42-430,218
3163,17-99999,42-99999,551
3164,17-99999,45-16700,56
3165,17-99999,45-273,139
3166,17-99999,45-99999,134
3167,17-99999,46-99999,232
3168,17-99999,47-314,90
3169,17-99999,47-368,99
3170,17-99999,47-400,134
3171,17-99999,47-99999,261
3172,17-99999,48-12420,55
3173,17-99999,48-13140,14
3174,17-99999,48-204,27
3175,17-99999,48-206,400
3176,17-99999,48-238,51
3177,17-99999,48-288,280
3178,17-99999,48-29700,73
3179,17-99999,48-41700,118
3180,17-99999,48-99999,445
3181,17-99999,49-482,105
3182,17-99999,49-99999,19
3183,17-99999,50-99999,52
3184,17-99999,51-40060,70
3185,17-99999,51-545,90
3186,17-99999,51-99999,210
3187,17-99999,53-500,166
3188,17-99999,53-99999,76
3189,17-99999,54-99999,135
3190,17-99999,55-376,19
3191,17-99999,55-99999,186
3192,17-99999,56-99999,40
3193,18-258,09-408,287
3194,18-258,10-428,154
3195,18-258,11-47900,50
3196,18-258,17-476,32
3197,18-258,19-99999,141
3198,18-258,20-312,129
3199,18-258,20-556,34
3200,18-258,20-99999,50
3201,18-258,21-99999,51
3202,18-258,22-12940,11
3203,18-258,22-29340,2
3204,18-258,22-406,40
3205,18-258,22-99999,30
3206,18-258,23-99999,38
3207,18-258,24-12580,58
3208,18-258,24-99999,28
3209,18-258,25-148,129
3210,18-258,25-99999,38
3211,18-258,26-99999,30
3212,18-258,27-378,170
3213,18-258,27-99999,72
3214,18-258,28-99999,60
3215,18-258,29-99999,113
3216,18-258,30-99999,44
3217,18-258,31-420,32
3218,18-258,31-99999,41
3219,18-258,32-332,10
3220,18-258,32-99999,15
3221,18-258,33-99999,7
3222,18-258,35-99999,27
3223,18-258,36-104,45
3224,18-258,36-160,250
3225,18-258,36-464,55
3226,18-258,36-99999,199
3227,18-258,37-172,90
3228,18-258,37-268,55
3229,18-258,37-450,63
3230,18-258,37-99999,83
3231,18-258,38-99999,31
3232,18-258,40-416,37
3233,18-258,40-538,23
3234,18-258,40-99999,21
3235,18-258,41-440,60
3236,18-258,41-99999,8
3237,18-258,42-99999,311
3238,18-258,45-16700,28
3239,18-258,45-273,147
3240,18-258,45-99999,124
3241,18-258,46-99999,32
3242,18-258,47-314,35
3243,18-258,47-368,47
3244,18-258,47-400,120
3245,18-258,47-99999,162
3246,18-258,48-12420,12
3247,18-258,48-13140,9
3248,18-258,48-204,4
3249,18-258,48-206,157
3250,18-258,48-238,24
3251,18-258,48-288,119
3252,18-258,48-29700,48
3253,18-258,48-41700,32
3254,18-258,48-99999,212
3255,18-258,49-482,36
3256,18-258,49-99999,5
3257,18-258,50-99999,25
3258,18-258,51-40060,58
3259,18-258,51-545,88
3260,18-258,51-99999,99
3261,18-258,53-500,47
3262,18-258,53-99999,23
3263,18-258,54-99999,10
3264,18-258,55-99999,130
3265,18-258,56-99999,10
3266,18-294,09-408,685
3267,18-294,10-428,404
3268,18-294,11-47900,72
3269,18-294,19-99999,398
3270,18-294,20-312,255
3271,18-294,20-556,61
3272,18-294,20-99999,127
3273,18-294,22-12940,26
3274,18-294,22-29340,2
3275,18-294,22-406,78
3276,18-294,22-99999,42
3277,18-294,23-99999,79
3278,18-294,24-12580,79
3279,18-294,24-99999,46
3280,18-294,25-148,391
3281,18-294,25-99999,109
3282,18-294,26-220,55
3283,18-294,26-99999,165
3284,18-294,27-378,506
3285,18-294,27-99999,174
3286,18-294,28-99999,255
3287,18-294,29-99999,128
3288,18-294,30-99999,40
3289,18-294,31-420,128
3290,18-294,31-99999,125
3291,18-294,32-332,28
3292,18-294,32-99999,32
3293,18-294,33-99999,34
3294,18-294,35-99999,39
3295,18-294,36-104,66
3296,18-294,36-160,279
3297,18-294,36-464,114
3298,18-294,36-99999,368
3299,18-294,37-172,194
3300,18-294,37-268,202
3301,18-294,37-450,136
3302,18-294,37-99999,250
3303,18-294,38-99999,61
3304,18-294,40-416,64
3305,18-294,40-538,114
3306,18-294,40-99999,53
3307,18-294,41-440,105
3308,18-294,41-99999,35
3309,18-294,42-430,36
3310,18-294,42-99999,505
3311,18-294,45-16700,79
3312,18-294,45-273,117
3313,18-294,45-99999,174
3314,18-294,46-99999,78
3315,18-294,47-314,17
3316,18-294,47-368,201
3317,18-294,47-99999,163
3318,18-294,48-12420,35
3319,18-294,48-13140,24
3320,18-294,48-204,4
3321,18-294,48-206,340
3322,18-294,48-238,50
3323,18-294,48-288,235
3324,18-294,48-29700,170
3325,18-294,48-41700,136
3326,18-294,48-99999,240
3327,18-294,49-482,84
3328,18-294,49-99999,9
3329,18-294,50-99999,75
3330,18-294,51-40060,60
3331,18-294,51-545,64
3332,18-294,51-99999,273
3333,18-294,53-500,129
3334,18-294,53-99999,65
3335,18-294,54-99999,20
3336,18-294,55-99999,345
3337,18-294,56-99999,10
3338,18-99999,09-408,659
3339,18-99999,10-428,436
3340,18-99999,11-47900,127
3341,18-99999,17-476,42
3342,18-99999,19-99999,386
3343,18-99999,20-312,326
3344,18-99999,20-556,83
3345,18-99999,20-99999,192
3346,18-99999,21-99999,39
3347,18-99999,22-12940,24
3348,18-99999,22-29340,13
3349,18-99999,22-406,101
3350,18-99999,22-99999,82
3351,18-99999,23-99999,147
3352,18-99999,24-12580,141
3353,18-99999,24-99999,54
3354,18-99999,25-148,478
3355,18-99999,25-99999,70
3356,18-99999,26-220,191
3357,18-99999,26-266,172
3358,18-99999,26-99999,171
3359,18-99999,27-378,527
3360,18-99999,27-99999,256
3361,18-99999,28-99999,327
3362,18-99999,29-99999,205
3363,18-99999,30-99999,109
3364,18-99999,31-420,141
3365,18-99999,31-99999,130
3366,18-99999,32-332,22
3367,18-99999,32-99999,32
3368,18-99999,33-99999,53
3369,18-99999,35-99999,68
3370,18-99999,36-104,78
3371,18-99999,36-160,322
3372,18-99999,36-464,91
3373,18-99999,36-99999,361
3374,18-99999,37-172,346
3375,18-99999,37-268,258
3376,18-99999,37-450,133
3377,18-99999,37-99999,273
3378,18-99999,38-99999,150
3379,18-99999,39-184,154
3380,18-99999,39-99999,57
3381,18-99999,40-416,101
3382,18-99999,40-538,81
3383,18-99999,40-99999,108
3384,18-99999,41-440,86
3385,18-99999,41-99999,68
3386,18-99999,42-430,195
3387,18-99999,42-99999,708
3388,18-99999,45-16700,78
3389,18-99999,45-273,263
3390,18-99999,45-99999,231
3391,18-99999,46-99999,82
3392,18-99999,47-314,68
3393,18-99999,47-368,159
3394,18-99999,47-400,78
3395,18-99999,47-99999,195
3396,18-99999,48-12420,62
3397,18-99999,48-13140,38
3398,18-99999,48-204,10
3399,18-99999,48-206,275
3400,18-99999,48-238,79
3401,18-99999,48-288,229
3402,18-99999,48-29700,69
3403,18-99999,48-41700,91
3404,18-99999,48-99999,366
3405,18-99999,49-482,103
3406,18-99999,49-99999,23
3407,18-99999,50-99999,87
3408,18-99999,51-40060,78
3409,18-99999,51-545,85
3410,18-99999,51-99999,211
3411,18-99999,53-500,93
3412,18-99999,53-99999,76
3413,18-99999,54-99999,139
3414,18-99999,55-376,93
3415,18-99999,55-99999,336
3416,18-99999,56-99999,23
3417,19-99999,09-408,769
3418,19-99999,10-428,395
3419,19-99999,11-47900,134
3420,19-99999,17-476,224
3421,19-99999,20-312,22
3422,19-99999,20-556,156
3423,19-99999,20-99999,336
3424,19-99999,21-178,333
3425,19-99999,21-350,230
3426,19-99999,21-99999,312
3427,19-99999,22-12940,59
3428,19-99999,22-29340,14
3429,19-99999,22-406,131
3430,19-99999,22-99999,118
3431,19-99999,23-99999,138
3432,19-99999,24-12580,125
3433,19-99999,24-99999,57
3434,19-99999,25-148,382
3435,19-99999,25-99999,75
3436,19-99999,26-220,565
3437,19-99999,26-266,211
3438,19-99999,26-99999,390
3439,19-99999,27-378,205
3440,19-99999,27-99999,273
3441,19-99999,28-99999,250
3442,19-99999,29-99999,394
3443,19-99999,30-99999,235
3444,19-99999,31-99999,174
3445,19-99999,32-332,25
3446,19-99999,32-99999,51
3447,19-99999,33-99999,57
3448,19-99999,35-99999,81
3449,19-99999,36-104,66
3450,19-99999,36-160,248
3451,19-99999,36-464,97
3452,19-99999,36-99999,255
3453,19-99999,37-172,210
3454,19-99999,37-268,189
3455,19-99999,37-450,103
3456,19-99999,37-99999,280
3457,19-99999,38-99999,466
3458,19-99999,39-184,455
3459,19-99999,39-198,271
3460,19-99999,39-212,187
3461,19-99999,39-99999,594
3462,19-99999,40-416,140
3463,19-99999,40-538,165
3464,19-99999,40-99999,236
3465,19-99999,41-440,219
3466,19-99999,41-99999,126
3467,19-99999,42-430,183
3468,19-99999,42-99999,618
3469,19-99999,45-16700,52
3470,19-99999,45-273,146
3471,19-99999,45-99999,171
3472,19-99999,46-99999,296
3473,19-99999,47-314,85
3474,19-99999,47-368,193
3475,19-99999,47-400,182
3476,19-99999,47-99999,312
3477,19-99999,48-12420,69
3478,19-99999,48-13140,18
3479,19-99999,48-204,16
3480,19-99999,48-206,611
3481,19-99999,48-238,65
3482,19-99999,48-288,369
3483,19-99999,48-29700,96
3484,19-99999,48-41700,98
3485,19-99999,48-99999,511
3486,19-99999,49-482,248
3487,19-99999,49-99999,15
3488,19-99999,50-99999,80
3489,19-99999,51-40060,83
3490,19-99999,51-545,88
3491,19-99999,51-99999,184
3492,19-99999,53-500,205
3493,19-99999,53-99999,128
3494,19-99999,54-99999,116
3495,19-99999,55-376,135
3496,19-99999,55-99999,500
3497,19-99999,56-99999,78
3498,20-312,09-408,551
3499,20-312,10-428,327
3500,20-312,11-47900,56
3501,20-312,21-178,209
3502,20-312,21-350,54
3503,20-312,21-99999,131
3504,20-312,22-12940,22
3505,20-312,22-29340,7
3506,20-312,22-406,91
3507,20-312,22-99999,66
3508,20-312,23-99999,43
3509,20-312,24-12580,49
3510,20-312,24-99999,21
3511,20-312,25-148,158
3512,20-312,25-99999,19
3513,20-312,26-220,156
3514,20-312,26-266,94
3515,20-312,26-99999,97
3516,20-312,27-378,243
3517,20-312,27-99999,110
3518,20-312,28-99999,109
3519,20-312,29-99999,11
3520,20-312,30-99999,116
3521,20-312,31-99999,81
3522,20-312,32-332,35
3523,20-312,32-99999,66
3524,20-312,33-99999,18
3525,20-312,35-99999,157
3526,20-312,36-104,49
3527,20-312,36-160,205
3528,20-312,36-464,43
3529,20-312,36-99999,212
3530,20-312,37-172,146
3531,20-312,37-268,128
3532,20-312,37-450,72
3533,20-312,37-99999,185
3534,20-312,38-99999,145
3535,20-312,39-184,298
3536,20-312,39-198,201
3537,20-312,39-212,165
3538,20-312,39-99999,281
3539,20-312,40-416,11
3540,20-312,40-538,12
3541,20-312,40-99999,251
3542,20-312,41-440,151
3543,20-312,41-99999,54
3544,20-312,42-430,121
3545,20-312,42-99999,436
3546,20-312,45-16700,31
3547,20-312,45-273,100
3548,20-312,45-99999,143
3549,20-312,46-99999,101
3550,20-312,47-314,58
3551,20-312,47-368,147
3552,20-312,47-400,198
3553,20-312,47-99999,199
3554,20-312,48-12420,86
3555,20-312,48-13140,25
3556,20-312,48-204,12
3557,20-312,48-206,753
3558,20-312,48-238,71
3559,20-312,48-288,369
3560,20-312,48-29700,60
3561,20-312,48-41700,161
3562,20-312,48-99999,543
3563,20-312,49-482,167
3564,20-312,49-99999,9
3565,20-312,50-99999,32
3566,20-312,51-40060,62
3567,20-312,51-545,71
3568,20-312,51-99999,134
3569,20-312,53-500,177
3570,20-312,53-99999,109
3571,20-312,54-99999,60
3572,20-312,55-376,275
3573,20-312,55-99999,526
3574,20-312,56-99999,67
3575,20-556,09-408,156
3576,20-556,10-428,76
3577,20-556,11-47900,17
3578,20-556,17-476,159
3579,20-556,21-178,52
3580,20-556,21-350,54
3581,20-556,21-99999,103
3582,20-556,22-12940,19
3583,20-556,22-29340,9
3584,20-556,22-406,45
3585,20-556,22-99999,44
3586,20-556,23-99999,12
3587,20-556,24-12580,32
3588,20-556,24-99999,8
3589,20-556,25-148,47
3590,20-556,25-99999,16
3591,20-556,26-220,77
3592,20-556,26-266,42
3593,20-556,26-99999,44
3594,20-556,27-378,99
3595,20-556,27-99999,37
3596,20-556,28-99999,70
3597,20-556,29-99999,22
3598,20-556,30-99999,51
3599,20-556,31-99999,25
3600,20-556,32-332,13
3601,20-556,32-99999,23
3602,20-556,33-99999,5
3603,20-556,35-99999,34
3604,20-556,36-104,11
3605,20-556,36-160,57
3606,20-556,36-464,7
3607,20-556,36-99999,42
3608,20-556,37-172,57
3609,20-556,37-268,39
3610,20-556,37-450,24
3611,20-556,37-99999,45
3612,20-556,38-99999,51
3613,20-556,39-184,87
3614,20-556,39-198,34
3615,20-556,39-212,44
3616,20-556,39-99999,51
3617,20-556,41-440,47
3618,20-556,41-99999,17
3619,20-556,42-430,23
3620,20-556,42-99999,108
3621,20-556,45-16700,18
3622,20-556,45-273,38
3623,20-556,45-99999,50
3624,20-556,46-99999,42
3625,20-556,47-314,24
3626,20-556,47-368,26
3627,20-556,47-400,32
3628,20-556,47-99999,45
3629,20-556,48-12420,27
3630,20-556,48-13140,9
3631,20-556,48-204,13
3632,20-556,48-206,31
3633,20-556,48-238,24
3634,20-556,48-288,157
3635,20-556,48-29700,16
3636,20-556,48-41700,46
3637,20-556,48-99999,257
3638,20-556,49-482,54
3639,20-556,49-99999,5
3640,20-556,50-99999,10
3641,20-556,51-40060,14
3642,20-556,51-545,25
3643,20-556,51-99999,47
3644,20-556,53-500,121
3645,20-556,53-99999,27
3646,20-556,54-99999,40
3647,20-556,55-376,70
3648,20-556,55-99999,120
3649,20-556,56-99999,23
3650,20-99999,09-408,215
3651,20-99999,10-428,132
3652,20-99999,11-47900,32
3653,20-99999,17-476,95
3654,20-99999,20-312,24
3655,20-99999,21-178,86
3656,20-99999,21-350,57
3657,20-99999,21-99999,107
3658,20-99999,22-12940,22
3659,20-99999,22-29340,4
3660,20-99999,22-406,81
3661,20-99999,22-99999,92
3662,20-99999,23-99999,35
3663,20-99999,24-12580,37
3664,20-99999,24-99999,15
3665,20-99999,25-148,124
3666,20-99999,25-99999,13
3667,20-99999,26-220,142
3668,20-99999,26-266,68
3669,20-99999,26-99999,107
3670,20-99999,27-378,223
3671,20-99999,27-99999,123
3672,20-99999,28-99999,125
3673,20-99999,29-99999,79
3674,20-99999,30-99999,87
3675,20-99999,31-420,41
3676,20-99999,31-99999,63
3677,20-99999,32-332,16
3678,20-99999,32-99999,30
3679,20-99999,33-99999,14
3680,20-99999,35-99999,70
3681,20-99999,36-104,20
3682,20-99999,36-160,91
3683,20-99999,36-464,25
3684,20-99999,36-99999,81
3685,20-99999,37-172,77
3686,20-99999,37-268,70
3687,20-99999,37-450,44
3688,20-99999,37-99999,82
3689,20-99999,38-99999,108
3690,20-99999,39-184,107
3691,20-99999,39-198,74
3692,20-99999,39-212,53
3693,20-99999,39-99999,92
3694,20-99999,40-416,14
3695,20-99999,40-538,44
3696,20-99999,40-99999,57
3697,20-99999,41-440,51
3698,20-99999,41-99999,23
3699,20-99999,42-430,58
3700,20-99999,42-99999,198
3701,20-99999,45-16700,21
3702,20-99999,45-273,94
3703,20-99999,45-99999,48
3704,20-99999,46-99999,113
3705,20-99999,47-314,38
3706,20-99999,47-368,92
3707,20-99999,47-400,142
3708,20-99999,47-99999,133
3709,20-99999,48-12420,34
3710,20-99999,48-13140,17
3711,20-99999,48-204,19
3712,20-99999,48-206,430
3713,20-99999,48-238,36
3714,20-99999,48-288,266
3715,20-99999,48-29700,64
3716,20-99999,48-41700,69
3717,20-99999,48-99999,330
3718,20-99999,49-482,86
3719,20-99999,49-99999,18
3720,20-99999,50-99999,15
3721,20-99999,51-40060,29
3722,20-99999,51-545,19
3723,20-99999,51-99999,51
3724,20-99999,53-500,66
3725,20-99999,53-99999,53
3726,20-99999,54-99999,49
3727,20-99999,55-376,125
3728,20-99999,55-99999,282
3729,20-99999,56-99999,57
3730,21-178,09-408,357
3731,21-178,10-428,398
3732,21-178,11-47900,80
3733,21-178,17-476,3
3734,21-178,20-312,67
3735,21-178,22-12940,7
3736,21-178,22-29340,1
3737,21-178,22-406,48
3738,21-178,22-99999,27
3739,21-178,23-99999,15
3740,21-178,24-12580,71
3741,21-178,24-99999,13
3742,21-178,25-148,225
3743,21-178,25-99999,23
3744,21-178,26-266,49
3745,21-178,26-99999,32
3746,21-178,27-378,86
3747,21-178,27-99999,50
3748,21-178,28-99999,82
3749,21-178,29-99999,90
3750,21-178,30-99999,29
3751,21-178,31-420,9
3752,21-178,31-99999,9
3753,21-178,32-332,15
3754,21-178,32-99999,5
3755,21-178,33-99999,5
3756,21-178,35-99999,25
3757,21-178,36-104,23
3758,21-178,36-160,67
3759,21-178,36-464,63
3760,21-178,36-99999,60
3761,21-178,37-172,54
3762,21-178,37-268,91
3763,21-178,37-450,53
3764,21-178,37-99999,32
3765,21-178,38-99999,33
3766,21-178,40-416,77
3767,21-178,40-538,57
3768,21-178,40-99999,102
3769,21-178,41-440,102
3770,21-178,41-99999,30
3771,21-178,42-99999,451
3772,21-178,45-16700,70
3773,21-178,45-273,174
3774,21-178,45-99999,161
3775,21-178,46-99999,86
3776,21-178,47-368,127
3777,21-178,47-99999,63
3778,21-178,48-12420,69
3779,21-178,48-13140,9
3780,21-178,48-204,30
3781,21-178,48-206,356
3782,21-178,48-238,45
3783,21-178,48-288,255
3784,21-178,48-29700,80
3785,21-178,48-41700,79
3786,21-178,48-99999,294
3787,21-178,49-482,153
3788,21-178,49-99999,9
3789,21-178,50-99999,81
3790,21-178,51-40060,95
3791,21-178,51-545,94
3792,21-178,51-99999,213
3793,21-178,53-500,122
3794,21-178,53-99999,60
3795,21-178,54-99999,16
3796,21-178,55-376,106
3797,21-178,55-99999,454
3798,21-178,56-99999,17
3799,21-350,09-408,476
3800,21-350,10-428,238
3801,21-350,11-47900,86
3802,21-350,20-312,105
3803,21-350,22-12940,26
3804,21-350,22-29340,8
3805,21-350,22-406,82
3806,21-350,22-99999,73
3807,21-350,23-99999,62
3808,21-350,24-12580,100
3809,21-350,24-99999,37
3810,21-350,25-148,197
3811,21-350,25-99999,21
3812,21-350,26-220,108
3813,21-350,26-266,94
3814,21-350,26-99999,154
3815,21-350,27-378,227
3816,21-350,27-99999,60
3817,21-350,28-99999,151
3818,21-350,29-99999,120
3819,21-350,30-99999,24
3820,21-350,31-420,41
3821,21-350,31-99999,43
3822,21-350,32-332,24
3823,21-350,32-99999,32
3824,21-350,33-99999,24
3825,21-350,35-99999,31
3826,21-350,36-104,36
3827,21-350,36-160,205
3828,21-350,36-464,91
3829,21-350,36-99999,137
3830,21-350,37-172,200
3831,21-350,37-268,100
3832,21-350,37-450,74
3833,21-350,37-99999,136
3834,21-350,38-99999,44
3835,21-350,39-184,42
3836,21-350,39-99999,5
3837,21-350,40-416,41
3838,21-350,40-538,42
3839,21-350,40-99999,61
3840,21-350,41-440,83
3841,21-350,41-99999,14
3842,21-350,42-430,68
3843,21-350,42-99999,278
3844,21-350,45-16700,65
3845,21-350,45-273,147
3846,21-350,45-99999,150
3847,21-350,46-99999,41
3848,21-350,47-368,6
3849,21-350,48-12420,58
3850,21-350,48-13140,9
3851,21-350,48-204,16
3852,21-350,48-206,228
3853,21-350,48-238,95
3854,21-350,48-288,137
3855,21-350,48-29700,57
3856,21-350,48-41700,58
3857,21-350,48-99999,284
3858,21-350,49-482,44
3859,21-350,49-99999,4
3860,21-350,50-99999,61
3861,21-350,51-40060,145
3862,21-350,51-545,60
3863,21-350,51-99999,118
3864,21-350,53-500,55
3865,21-350,53-99999,25
3866,21-350,54-99999,13
3867,21-350,55-376,134
3868,21-350,55-99999,239
3869,21-350,56-99999,19
3870,21-99999,09-408,607
3871,21-99999,10-428,309
3872,21-99999,11-47900,94
3873,21-99999,17-476,54
3874,21-99999,20-312,128
3875,21-99999,21-178,1
3876,21-99999,22-12940,60
3877,21-99999,22-29340,11
3878,21-99999,22-406,231
3879,21-99999,22-99999,136
3880,21-99999,23-99999,113
3881,21-99999,24-12580,177
3882,21-99999,24-99999,74
3883,21-99999,25-148,299
3884,21-99999,25-99999,58
3885,21-99999,26-220,330
3886,21-99999,26-266,274
3887,21-99999,26-99999,307
3888,21-99999,27-378,258
3889,21-99999,27-99999,95
3890,21-99999,28-99999,223
3891,21-99999,29-99999,288
3892,21-99999,30-99999,54
3893,21-99999,31-420,70
3894,21-99999,31-99999,89
3895,21-99999,32-332,38
3896,21-99999,32-99999,20
3897,21-99999,33-99999,21
3898,21-99999,35-99999,48
3899,21-99999,36-104,74
3900,21-99999,36-160,267
3901,21-99999,36-464,84
3902,21-99999,36-99999,318
3903,21-99999,37-172,166
3904,21-99999,37-268,175
3905,21-99999,37-450,223
3906,21-99999,37-99999,181
3907,21-99999,38-99999,42
3908,21-99999,39-184,237
3909,21-99999,39-198,43
3910,21-99999,39-212,5
3911,21-99999,39-99999,184
3912,21-99999,40-416,45
3913,21-99999,40-538,75
3914,21-99999,40-99999,58
3915,21-99999,41-440,96
3916,21-99999,41-99999,27
3917,21-99999,42-430,127
3918,21-99999,42-99999,630
3919,21-99999,45-16700,92
3920,21-99999,45-273,73
3921,21-99999,45-99999,150
3922,21-99999,46-99999,56
3923,21-99999,47-368,76
3924,21-99999,47-99999,13
3925,21-99999,48-12420,44
3926,21-99999,48-13140,18
3927,21-99999,48-204,4
3928,21-99999,48-206,500
3929,21-99999,48-238,78
3930,21-99999,48-288,256
3931,21-99999,48-29700,118
3932,21-99999,48-41700,99
3933,21-99999,48-99999,369
3934,21-99999,49-482,70
3935,21-99999,49-99999,15
3936,21-99999,50-99999,107
3937,21-99999,51-40060,87
3938,21-99999,51-545,145
3939,21-99999,51-99999,217
3940,21-99999,53-500,98
3941,21-99999,53-99999,62
3942,21-99999,54-99999,107
3943,21-99999,55-376,202
3944,21-99999,55-99999,454
3945,21-99999,56-99999,29
3946,22-12940,09-408,101
3947,22-12940,10-428,41
3948,22-12940,11-47900,9
3949,22-12940,17-476,37
3950,22-12940,20-312,20
3951,22-12940,21-178,27
3952,22-12940,23-99999,13
3953,22-12940,24-12580,18
3954,22-12940,24-99999,10
3955,22-12940,25-148,37
3956,22-12940,25-99999,16
3957,22-12940,26-220,48
3958,22-12940,26-266,10
3959,22-12940,26-99999,35
3960,22-12940,27-378,37
3961,22-12940,27-99999,20
3962,22-12940,28-99999,6
3963,22-12940,29-99999,50
3964,22-12940,30-99999,12
3965,22-12940,31-420,31
3966,22-12940,31-99999,26
3967,22-12940,32-332,12
3968,22-12940,32-99999,8
3969,22-12940,33-99999,7
3970,22-12940,35-99999,8
3971,22-12940,36-104,6
3972,22-12940,36-160,18
3973,22-12940,36-464,12
3974,22-12940,36-99999,17
3975,22-12940,37-172,38
3976,22-12940,37-268,27
3977,22-12940,37-450,20
3978,22-12940,37-99999,51
3979,22-12940,38-99999,11
3980,22-12940,39-184,49
3981,22-12940,39-198,30
3982,22-12940,39-212,10
3983,22-12940,39-99999,29
3984,22-12940,40-416,34
3985,22-12940,40-538,59
3986,22-12940,40-99999,38
3987,22-12940,41-440,18
3988,22-12940,41-99999,12
3989,22-12940,42-430,34
3990,22-12940,42-99999,72
3991,22-12940,45-16700,10
3992,22-12940,45-273,35
3993,22-12940,45-99999,56
3994,22-12940,46-99999,7
3995,22-12940,47-314,16
3996,22-12940,47-368,5
3997,22-12940,47-400,30
3998,22-12940,47-99999,57
3999,22-12940,48-12420,31
4000,22-12940,48-204,35
4001,22-12940,48-206,272
4002,22-12940,48-238,10
4003,22-12940,48-29700,21
4004,22-12940,48-41700,59
4005,22-12940,48-99999,136
4006,22-12940,49-482,15
4007,22-12940,49-99999,7
4008,22-12940,50-99999,11
4009,22-12940,51-40060,14
4010,22-12940,51-545,15
4011,22-12940,51-99999,38
4012,22-12940,53-500,13
4013,22-12940,53-99999,31
4014,22-12940,54-99999,32
4015,22-12940,55-376,29
4016,22-12940,55-99999,42
4017,22-12940,56-99999,4
4018,22-29340,09-408,22
4019,22-29340,10-428,10
4020,22-29340,11-47900,1
4021,22-29340,17-476,10
4022,22-29340,20-312,4
4023,22-29340,21-178,14
4024,22-29340,23-99999,5
4025,22-29340,24-12580,6
4026,22-29340,24-99999,2
4027,22-29340,25-148,7
4028,22-29340,26-220,10
4029,22-29340,26-266,1
4030,22-29340,26-99999,8
4031,22-29340,27-378,22
4032,22-29340,28-99999,11
4033,22-29340,29-99999,7
4034,22-29340,30-99999,7
4035,22-29340,31-420,1
4036,22-29340,31-99999,2
4037,22-29340,32-332,1
4038,22-29340,32-99999,2
4039,22-29340,33-99999,1
4040,22-29340,35-99999,3
4041,22-29340,36-104,3
4042,22-29340,36-160,5
4043,22-29340,36-464,4
4044,22-29340,36-99999,5
4045,22-29340,37-172,7
4046,22-29340,37-268,2
4047,22-29340,37-450,4
4048,22-29340,37-99999,36
4049,22-29340,38-99999,1
4050,22-29340,39-184,18
4051,22-29340,39-198,14
4052,22-29340,39-212,3
4053,22-29340,39-99999,8
