index,target,source,flow
771,05-99999,36-464,39
772,05-99999,36-99999,114
773,05-99999,37-172,276
774,05-99999,37-268,174
775,05-99999,37-450,88
776,05-99999,37-99999,277
777,05-99999,38-99999,73
778,05-99999,39-184,284
779,05-99999,39-198,206
780,05-99999,39-212,79
781,05-99999,39-99999,297
782,05-99999,40-416,82
783,05-99999,40-538,29
784,05-99999,40-99999,84
785,05-99999,41-440,156
786,05-99999,41-99999,23
787,05-99999,42-430,143
788,05-99999,42-99999,342
789,05-99999,45-16700,39
790,05-99999,45-273,164
791,05-99999,45-99999,137
792,05-99999,46-99999,57
793,05-99999,47-314,116
794,05-99999,47-400,120
795,05-99999,47-99999,160
796,05-99999,48-12420,110
797,05-99999,48-13140,78
798,05-99999,48-204,64
799,05-99999,48-206,507
800,05-99999,48-238,51
801,05-99999,48-288,724
802,05-99999,48-29700,77
803,05-99999,48-41700,146
804,05-99999,48-99999,670
805,05-99999,49-482,115
806,05-99999,49-99999,23
807,05-99999,50-99999,31
808,05-99999,51-40060,99
809,05-99999,51-545,44
810,05-99999,51-99999,204
811,05-99999,53-500,95
812,05-99999,53-99999,54
813,05-99999,54-99999,108
814,05-99999,55-376,202
815,05-99999,55-99999,395
816,05-99999,56-99999,38
817,06-260,06-348,1
818,06-260,08-216,90
819,06-260,08-99999,31
820,06-260,09-25540,8
821,06-260,09-408,106
822,06-260,09-99999,4
823,06-260,10-428,41
824,06-260,10-99999,2
825,06-260,11-47900,3
826,06-260,12-300,14
827,06-260,12-370,21
828,06-260,12-422,22
829,06-260,12-45300,9
830,06-260,12-99999,24
831,06-260,13-122,57
832,06-260,13-496,3
833,06-260,13-99999,23
834,06-260,16-99999,60
835,06-260,17-176,96
836,06-260,17-476,50
837,06-260,17-99999,31
838,06-260,18-258,12
839,06-260,18-294,28
840,06-260,18-99999,36
841,06-260,19-99999,62
842,06-260,20-312,33
843,06-260,20-556,9
844,06-260,20-99999,28
845,06-260,21-178,20
846,06-260,21-350,19
847,06-260,21-99999,47
848,06-260,22-12940,5
849,06-260,22-406,21
850,06-260,22-99999,12
851,06-260,23-99999,16
852,06-260,24-12580,24
853,06-260,24-99999,2
854,06-260,25-148,37
855,06-260,25-99999,1
856,06-260,26-220,37
857,06-260,26-266,26
858,06-260,26-99999,23
859,06-260,27-378,72
860,06-260,27-99999,25
861,06-260,28-99999,33
862,06-260,29-99999,22
863,06-260,30-99999,59
864,06-260,31-420,17
865,06-260,31-99999,25
866,06-260,32-332,26
867,06-260,32-99999,20
868,06-260,33-99999,7
869,06-260,35-99999,42
870,06-260,36-104,5
871,06-260,36-160,23
872,06-260,36-464,16
873,06-260,36-99999,32
874,06-260,37-172,30
875,06-260,37-268,8
876,06-260,37-450,17
877,06-260,37-99999,16
878,06-260,38-99999,32
879,06-260,39-184,22
880,06-260,39-198,31
881,06-260,39-212,5
882,06-260,39-99999,23
883,06-260,40-416,17
884,06-260,40-538,15
885,06-260,40-99999,41
886,06-260,41-440,231
887,06-260,41-99999,77
888,06-260,42-430,9
889,06-260,42-99999,55
890,06-260,45-16700,7
891,06-260,45-273,15
892,06-260,45-99999,14
893,06-260,46-99999,10
894,06-260,47-314,6
895,06-260,47-368,12
896,06-260,47-400,16
897,06-260,47-99999,19
898,06-260,48-12420,14
899,06-260,48-204,4
900,06-260,48-206,81
901,06-260,48-238,13
902,06-260,48-288,98
903,06-260,48-29700,17
904,06-260,48-41700,27
905,06-260,48-99999,58
906,06-260,49-482,146
907,06-260,49-99999,41
908,06-260,50-99999,4
909,06-260,51-40060,8
910,06-260,51-545,14
911,06-260,51-99999,16
912,06-260,53-500,218
913,06-260,53-99999,126
914,06-260,54-99999,9
915,06-260,55-376,20
916,06-260,55-99999,59
917,06-260,56-99999,3
